layer,m1,m2,kx,ky,occupation
bottom,3,-3,2.17080376367,-2.17080376367,0.0177669540847
bottom,3,-2,2.17080376367,-1.44720250912,0.0410171219601
bottom,3,-1,2.17080376367,-0.723601254558,0.0913252955389
bottom,3,0,2.17080376367,0,0.0901147314224
bottom,3,1,2.17080376367,0.723601254558,0.0538855807012
bottom,3,2,2.17080376367,1.44720250912,0.0270908880962
bottom,3,3,2.17080376367,2.17080376367,0.00722513827566
bottom,3,4,2.17080376367,2.89440501823,0.0135080585701
bottom,4,-4,2.89440501823,-2.89440501823,0.00187760623183
bottom,4,-3,2.89440501823,-2.17080376367,-0.000370518570016
bottom,4,-2,2.89440501823,-1.44720250912,0.00829281712376
bottom,4,-1,2.89440501823,-0.723601254558,0.0105854158591
bottom,4,0,2.89440501823,0,0.015872286108
bottom,4,1,2.89440501823,0.723601254558,0.0100061788524
bottom,4,2,2.89440501823,1.44720250912,0.00499593923393
bottom,4,3,2.89440501823,2.17080376367,0.00616856358423
bottom,4,4,2.89440501823,2.89440501823,0.00251190354883
