r,top_top,bottom_bottom,top_bottom
3.446150974833749325e-01,4.434024688611141185e-01,4.547159764081101230e-01,1.001462985361976532e+00
3.500421068925619883e-01,4.193924668576816672e-01,3.585612816750557430e-01,9.981455033487214301e-01
3.554691163017489330e-01,3.400097649810961409e-01,3.235576795787850624e-01,9.974604085580668356e-01
3.608961257109359888e-01,3.053959982574753762e-01,3.166146267648928814e-01,9.922253657671445959e-01
3.663231351201229336e-01,3.025090096319716926e-01,2.967781217634363200e-01,9.801865000862735045e-01
3.717501445293099893e-01,2.960759535417931687e-01,3.065636576182054207e-01,9.868526162670258062e-01
3.771771539384970451e-01,3.061283627616890879e-01,3.307776595035393785e-01,1.002470995718959923e+00
3.826041633476839898e-01,3.464661389214833132e-01,3.264777078298592983e-01,1.023917180918976433e+00
3.880311727568710456e-01,3.393017677609851956e-01,3.543732585840813631e-01,9.904674610152677250e-01
3.934581821660579903e-01,4.119887296033033497e-01,4.123698477620482694e-01,1.019109956484026913e+00
3.988851915752450461e-01,4.755550902571044070e-01,4.597659093948132103e-01,9.941544950078360365e-01
4.043122009844319908e-01,5.055187067353053010e-01,5.355605374363762161e-01,1.012335517266335749e+00
4.097392103936190466e-01,5.709200497225760396e-01,5.668943314232501862e-01,9.994760614053558312e-01
4.151662198028061024e-01,6.396682194438720881e-01,6.367786961488123287e-01,1.015667438213533780e+00
4.205932292119930471e-01,7.016508243836255820e-01,7.226860879195167175e-01,9.991750179548326560e-01
4.260202386211801029e-01,7.835255292873285482e-01,8.039408395742400071e-01,9.980622813540970251e-01
4.314472480303670476e-01,8.640356143572074377e-01,8.852368100433658515e-01,1.011227522112749355e+00
